FIPS,trump_vs_senate,trump_vs_house
18061,,-1.698363817
18063,,-2.942184019
18065,,-0.5526279
18067,,-7.302296618
18069,,-1.864387537
18071,,-0.611136957
18073,,-0.359947102
18075,,-0.523829885
18077,,-0.442766899
18079,,0.736923385
18081,,-3.284983633
18083,,-2.797538396
18085,,-1.18881776
18087,,-2.170281965
18089,,4.56755734
18091,,-6.285341774
18093,,-1.724960219
18095,,2.739713935
18097,,-2.432816766
18099,,-0.378178878
18101,,-1.839452276
18103,,0.004425399
18105,,-1.873226527
18107,,-2.60713305
18109,,-2.355839951
18111,,0.274892621
18113,,-1.459609449
18115,,-0.545573473
18117,,-0.651204448
18119,,-0.170583245
18121,,-1.370368181
18123,,-0.966370329
18125,,-1.320107129
18127,,2.704985572
18129,,-3.707757259
18131,,-0.822163131
18133,,-1.278912367
18135,,-0.865119767
18137,,-0.287682346
18139,,-0.558049013
18141,,-1.588288345
18143,,68.26816315
18145,,-1.36380969
18147,,-0.509703046
18149,,2.09530249
18151,,-2.739766985
18153,,-0.920098115
18155,,-0.044372791
18157,,-2.114912011
18159,,2.511030071
18161,,-0.311130587
18163,,-4.514311365
18165,,-0.720383555
18167,,-2.727474634
18169,,-0.914495724
18171,,-0.268321624
18173,,-4.185437963
18175,,-1.713087856
18177,,-1.033336223
18179,,0.410067169
18181,,-1.572860556
18183,,-1.216124083
19001,0.941779661,3.113760787
19003,0.53031957,3.100562884
19005,1.516834396,1.766382318
19007,2.294637297,2.829822453
19009,1.446080146,4.584302601
19011,1.109205483,0.711074991
19013,-0.126111236,0.543424045
19015,1.143011172,2.083385427
19017,0.096524814,1.211383786
19019,2.077530143,2.657668097
19021,2.136073229,2.194766538
19023,1.43158973,1.441711311
19025,1.854022795,2.633698475
19027,2.207506321,5.123806479
19029,1.648010755,1.631497209
19031,0.700070537,4.234943558
19033,3.635863493,1.318589505
19035,2.103024343,3.293068654
19037,2.471444961,-1.157772061
19039,2.542087625,5.883728223
19041,3.103213619,2.549627599
19043,1.649716018,2.490891545
19045,1.832537498,9.559879114
19047,3.156903882,5.026278243
19049,-2.024534957,-1.35888651
19051,4.918225801,3.710241683
19053,2.338581109,4.050549043
19055,1.249520791,1.032663253
19057,3.902987877,3.374560826
19059,1.667697223,0.181295356
19061,0.888582541,1.735699421
19063,3.805555442,1.897218152
19065,1.585454044,2.226013649
19067,5.421227408,1.859089793
19069,1.176878782,1.252338209
19071,1.522397538,7.137334242
19073,1.370459271,3.078084834
19075,-0.730920791,-1.8478724
19077,1.046299879,3.268846913
19079,1.924093773,2.143208593
19081,4.236599716,2.282511457
19083,0.397576259,0.044981183
19085,3.256270536,2.243207659
19087,3.564716828,4.669937461
19089,6.408634113,2.952595278
19091,0.807730091,1.62162466
19093,1.704973004,4.303024733
19095,0.81447103,-0.156755411
19097,4.030916998,4.348247785
19099,1.903131341,2.970934468
